ID,RED,IR,RED 4xS,IR 4xS
298,230631,243433,230655,243530
299,230614,243449,230716,243612.5
300,230614,243544,230772,243701.5
301,230761,243694,230810,243762
302,230873,243763,230853,243792.25
303,230839,243805,230858,243824
304,230766,243786,230870,243877.25
305,230934,243815,230928,243945
306,230892,243890,230933,244005.25
307,230886,244018,230891,243956.25
308,230999,244057,230797,243754
309,230955,244056,230631,243472
310,230724,243694,230480,243154.25
311,230510,243209,230399,242933.5
312,230333,242929,230353,242867
313,230352,242785,230331,242846.25
314,230399,242811,230347,242868.75
315,230329,242943,230369,242920
316,230244,242846,230406,242975.25
317,230415,242875,230474,243056.5
318,230488,243016,230518,243156.25
319,230478,243164,230556,243229.5
320,230515,243171,230590,243273
321,230590,243274,230609,243333.75
322,230642,243309,230636,243355.75
323,230611,243338,230659,243406.25
324,230592,243414,230681,243469.5
325,230700,243362,230687,243470.25
326,230731,243511,230708,243540.25
327,230699,243591,230791,243619.25
328,230616,243417,230791,243687.75
329,230785,243642,230809,243789.25
330,231062,243827,230855,243859.25
331,230702,243865,230814,243903.25
332,230688,243823,230818,243897.25
333,230968,243922,230842,243800.75
334,230897,244003,230738,243653.25
335,230720,243841,230520,243349.25
336,230782,243437,230313,242978.25
337,230552,243332,230197,242784.25
338,230024,242787,230149,242686.75
339,229893,242357,230130,242610.25
340,230320,242661,230188,242641.75
341,230359,242942,230142,242641.25
342,229947,242481,230147,242600
343,230124,242483,230242,242723.75
344,230136,242659,230270,242889.25
345,230380,242777,230327,243009.25
346,230327,242976,230259,243057.75
347,230237,243145,230229,243062
348,230363,243139,230248,243027
349,230109,242971,230240,243009.5
350,230208,242993,230341,243079.25
351,230312,243005,230465,243179.5
352,230330,243069,230518,243283.5
353,230512,243250,230549,243377.75
354,230704,243394,230535,243402.5
355,230527,243421,230492,243438.5
356,230451,243446,230510,243449.75
357,230459,243349,230565,243488.25
358,230530,243538,230623,243559.75
359,230601,243466,230624,243536.75
360,230669,243600,230520,243391
361,230691,243635,230349,243106
362,230534,243446,230146,242735.75
363,230187,242883,229971,242382
364,229982,242460,229874,242197.25
365,229880,242154,229856,242125
366,229836,242031,229855,242136
367,229796,242144,229845,242180.75
368,229912,242171,229860,242208.25
369,229877,242198,229839,242223.25
370,229796,242210,229826,242257.5
371,229855,242254,229851,242310.5
372,229827,242231,229886,242385.25
373,229827,242335,229963,242483.5
374,229893,242422,230036,242550.25
