ID,RED,IR,RED 4xS,IR 4xS
598,230355,248817,230354,248923
599,230262,248925,230411,249039
600,230393,248966,230498,249146
601,230407,248983,230553,249300
602,230582,249281,230580,249426
603,230610,249355,230624,249513
604,230611,249580,230574,249428
605,230515,249486,230314,248861
606,230761,249629,229976,248148
607,230410,249015,229662,247474
608,229568,247314,229484,247034
609,229164,246633,229515,247062
610,229506,246934,229695,247338
611,229696,247256,229797,247584
612,229695,247423,229797,247695
613,229882,247739,229832,247801
614,229916,247916,229869,247883
615,229693,247700,229955,248040
616,229837,247850,230078,248291
617,230029,248064,230153,248463
618,230260,248545,230201,248631
619,230187,248703,230233,248737
620,230137,248541,230301,248820
621,230220,248736,230385,248965
622,230386,248966,230452,249111
623,230460,249038,230470,249170
624,230472,249119,230510,249284
625,230489,249322,230565,249430
626,230460,249201,230627,249547
627,230617,249493,230663,249647
628,230695,249704,230449,249255
629,230734,249790,226168,243739
630,230607,249602,221996,238420
631,229761,247922,218009,233462
632,213569,227640,214435,229229
633,214047,228515,215072,230412
634,214659,229771,215701,231667
635,215465,230990,216254,232820
636,216118,232371,216677,233875
637,216560,233535,217011,234771
638,216871,234384,217361,235639
639,217157,235208,217763,236566
640,217454,235958,218195,237476
641,217963,237004,218645,238424
642,218479,238093,219113,239307
643,218883,238847,219485,239988
644,219253,239750,219064,239182
645,219836,240539,217719,236524
646,219967,240815,215771,232833
647,217201,235624,213791,229060
648,213872,229118,212527,226642
649,212044,225773,212122,225891
650,212047,225725,212325,226262
651,212144,225950,212684,226890
652,212253,226115,213020,227513
653,212856,227256,213384,228140
654,213481,228238,213726,228683
655,213491,228443,214077,229304
656,213706,228623,214625,230298
657,214226,229426,215324,231616
658,214886,230724,216013,233017
659,215681,232420,216630,234265
660,216502,233894,217148,235231
661,216982,235030,217503,235959
662,217355,235715,217787,236532
663,217751,236285,218092,237122
664,217923,236806,218381,237775
665,218118,237323,218652,238344
666,218576,238073,218199,237547
667,218907,238896,216790,234994
668,219008,239085,214930,231533
669,216305,234135,213086,228084
670,212940,227861,211933,225906
671,211466,225050,211718,225417
672,211631,225291,212070,225972
673,211693,225422,212438,226581
674,212080,225906,212748,227097
675,212875,227270,212980,227552
676,213103,227725,213095,227870
677,212934,227488,213332,228356
678,213008,227723,213823,229250
679,213335,228545,214544,230473
680,214049,229667,215353,231795
681,214900,231063,216091,233064
682,215890,232618,216676,234158
683,216571,233830,217059,234952
684,217002,234745,217337,235600
685,217240,235439,217586,236218
686,217424,235792,217816,236774
687,217682,236425,217319,236100
688,217996,237215,215832,233579
689,218163,237665,213985,230264
690,215433,233096,212157,226849
691,211736,226339,211028,224559
692,210609,223956,210839,223926
693,210849,224005,210977,223994
694,210917,223937,211131,224237
695,210982,223806,211254,224544
696,211161,224229,211383,224933
697,211465,224975,211570,225363
698,211406,225167,211821,225842
699,211498,225359,212248,226530
700,211909,225952,212808,227424
701,212470,226888,213372,228387
702,213113,227919,213893,229318
703,213738,228937,214341,230203
704,214167,229803,214768,231066
705,214552,230613,215205,231972
706,214906,231459,215668,232900
707,215446,232387,216126,233823
708,215916,233428,216543,234720
709,216405,234327,216940,235562
710,216738,235151,216873,235552
711,217114,235975,215679,233428
712,217503,236794,213889,230101
713,216136,234288,211933,226403
714,211962,226653,210271,223248
715,209953,222670,209585,221920
716,209682,222000,209460,221652
717,209486,221668,209555,221794
718,209218,221341,209752,222150
719,209454,221599,209998,222586
720,210060,222568,210217,223005
721,210274,223092,210390,223346
722,210204,223086,210637,223773
723,210330,223274,211011,224409
724,210751,223932,211459,225181
